kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;cilinderinhoud;vervaldatum_apk;vervaldatum_apk_dt;toegestane_maximum_massa_voertuig;laadvermogen;aantal_zitplaatsen;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
00NNB7;Personenauto;PEUGEOT;PEUGEOT 107;20191106;hatchback;ROOD;Niet geregistreerd;3;775;875;20101015;20101015;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2019-11-06T00:00:00.000;2010-10-15T00:00:00.000;2010-10-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231015;2023-10-15T00:00:00.000;1180;;4;;;;;;9420;P*****;e11*2001/116*0237*08;MCFB;4;0;A;;
00NNB8;Personenauto;PEUGEOT;308;20171007;MPV;BLAUW;Niet geregistreerd;4;1295;1395;20101013;20101013;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;1922;0;0.06;271;Nee;Nee;Nee;3272;2023;Logisch;00;Ja;2017-10-07T00:00:00.000;2010-10-13T00:00:00.000;2010-10-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20231004;2023-10-04T00:00:00.000;1922;;5;695;1500;;;4064;21850;4*****;e2*2001/116*0362*24;E5FS;0/1;0;B;;
00NNF2;Personenauto;PEUGEOT;5008;20210414;MPV;GRIJS;Niet geregistreerd;4;1435;1535;20090924;20110303;Geen verstrekking in Open Data;Nee;4;4;0;0;453;0;M1;r. by schroefveerkoker;2050;0;0.07;273;Ja;Nee;Nee;3400;2022;Geen oordeel;05;Nee;2021-04-14T00:00:00.000;2009-09-24T00:00:00.000;2011-03-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230414;2023-04-14T00:00:00.000;2050;;5;750;1550;;;4251;;0*****;e2*2007/46*0004*00;A5FV;8;0;B;;
00NNG1;Personenauto;PEUGEOT;308;20130809;MPV;GRIJS;Niet geregistreerd;4;1262;1362;20101012;20101012;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. tegen schroefveerkoker onder motorkap;1815;0;0.06;261;Nee;Nee;Nee;3315;2022;Logisch;00;Ja;2013-08-09T00:00:00.000;2010-10-12T00:00:00.000;2010-10-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20231012;2023-10-12T00:00:00.000;1815;;5;680;1500;;;3877;20850;4*****;e2*2001/116*0362*24;C5FS;0/1;0;B;;
00NNH9;Personenauto;PEUGEOT;3008;20190527;stationwagen;GRIJS;Niet geregistreerd;4;1374;1474;20101018;20101018;Geen verstrekking in Open Data;Ja;4;4;0;0;437;0;M1;r. by schroefveerkoker;2020;0;0.06;261;Nee;Nee;Nee;3220;2023;Logisch;00;Ja;2019-05-27T00:00:00.000;2010-10-18T00:00:00.000;2010-10-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20240128;2024-01-28T00:00:00.000;2020;;5;735;1500;;;5177;26020;0U****;e2*2001/116*0377*04;5FS;0/1;0;B;;
00NNP1;Personenauto;PEUGEOT;207;20190114;hatchback;GRIJS;Niet geregistreerd;4;1064;1164;20101014;20101014;Geen verstrekking in Open Data;Ja;4;4;0;0;403;0;M1;r. op schutbord onder motorkap;1643;0;0.06;254;Nee;Nee;Nee;2583;2022;Logisch;00;Ja;2019-01-14T00:00:00.000;2010-10-14T00:00:00.000;2010-10-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20240108;2024-01-08T00:00:00.000;1643;;5;580;1150;;;2959;17420;W*****;e2*2001/116*0340*21;C8FP;0/1;0;B;0.00;
00NNP2;Personenauto;PEUGEOT;407;20121026;sedan;ZWART;Niet geregistreerd;4;1375;1475;20101016;20101016;Geen verstrekking in Open Data;Ja;4;4;0;0;469;0;M1;r. tegen voorwielscherm onder motorkap;1980;2;0.06;273;Nee;Nee;Nee;3280;2022;Logisch;00;Ja;2012-10-26T00:00:00.000;2010-10-16T00:00:00.000;2010-10-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1749;20231016;2023-10-16T00:00:00.000;1980;;5;735;1600;;;5628;24790;6*6FY*;e2*2001/116*0330*05;D;C;0;C;;
00NNT1;Personenauto;PEUGEOT;PEUGEOT 107;20200207;hatchback;ZWART;Niet geregistreerd;3;780;880;20101104;20101104;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2020-02-07T00:00:00.000;2010-11-04T00:00:00.000;2010-11-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230617;2023-06-17T00:00:00.000;1190;;4;;;;;;11100;P*****;e11*2001/116*0237*08;NCFB;4;0;A;;
00NNX4;Personenauto;PEUGEOT;207;20221102;hatchback;GRIJS;Niet geregistreerd;4;1114;1214;20101027;20101027;Geen verstrekking in Open Data;Ja;4;4;0;0;403;0;M1;r. op schutbord onder motorkap;1617;0;0.04;254;Nee;Nee;Nee;2397;2022;Logisch;00;Ja;2022-11-02T00:00:00.000;2010-10-27T00:00:00.000;2010-10-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20230813;2023-08-13T00:00:00.000;1617;;5;600;950;;;2636;14520;W*****;e2*2001/116*0340*21;CKFT;0/1;0;C;0.00;
00NPF5;Personenauto;PEUGEOT;3008;20190801;stationwagen;GRIJS;Niet geregistreerd;4;1374;1474;20101022;20101022;Geen verstrekking in Open Data;Ja;4;4;0;0;437;0;M1;r. by schroefveerkoker;2020;0;0.06;261;Nee;Nee;Nee;3220;2023;Logisch;00;Ja;2019-08-01T00:00:00.000;2010-10-22T00:00:00.000;2010-10-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230802;2023-08-02T00:00:00.000;2020;;5;735;1500;;;5420;27320;0U****;e2*2001/116*0377*04;5FS;0/1;0;B;;
00NPH6;Personenauto;PEUGEOT;PEUGEOT 107;20220409;hatchback;BLAUW;Niet geregistreerd;3;780;880;20101022;20101022;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-04-09T00:00:00.000;2010-10-22T00:00:00.000;2010-10-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230415;2023-04-15T00:00:00.000;1190;;4;;;;;;11160;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00NPL5;Personenauto;PEUGEOT;PEUGEOT BIPPER;20101027;MPV;ROOD;Niet geregistreerd;4;1155;1255;20101027;20101027;Geen verstrekking in Open Data;Ja;0;4;0;0;0;0;M1;r. op bodemplaat v. r. voorzitting;1690;1;0.04;251;Nee;Nee;Nee;2290;2022;Logisch;00;Ja;2010-10-27T00:00:00.000;2010-10-27T00:00:00.000;2010-10-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20231108;2023-11-08T00:00:00.000;1690;;5;400;600;;;3228;16200;A;e3*2001/116*0272*04;JKFV;C/H;0;D;;
00NPL6;Personenauto;PEUGEOT;3008;20180310;MPV;WIT;Niet geregistreerd;4;1434;1534;20101103;20101103;Geen verstrekking in Open Data;Ja;4;4;0;0;437;0;M1;r. by schroefveerkoker;2020;0;0.07;261;Nee;Nee;Nee;3420;2022;Logisch;00;Ja;2018-03-10T00:00:00.000;2010-11-03T00:00:00.000;2010-11-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20231103;2023-11-03T00:00:00.000;2020;;5;750;1500;;;7026;34720;0U****;e2*2001/116*0377*04;5FV;8/1;0;C;;
00NPP5;Personenauto;PEUGEOT;308;20200701;hatchback;GRIJS;Niet geregistreerd;4;1262;1362;20090226;20110111;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. tegen schroefveerkoker onder motorkap;1815;0;0.06;261;Nee;Nee;Nee;3215;2022;Geen oordeel;05;Ja;2020-07-01T00:00:00.000;2009-02-26T00:00:00.000;2011-01-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230630;2023-06-30T00:00:00.000;1815;;5;680;1650;;;4557;;4*****;e2*2001/116*0362*10;C5FW;C;0;B;;
00NPR1;Personenauto;PEUGEOT;PEUGEOT 107;20220722;hatchback;GRIJS;Niet geregistreerd;3;815;915;20101110;20101110;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.05;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-07-22T00:00:00.000;2010-11-10T00:00:00.000;2010-11-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230614;2023-06-14T00:00:00.000;1190;;4;;;;;;11670;P*****;e11*2001/116*0237*08;NCFB;0/P;0;A;;
00NPR2;Personenauto;PEUGEOT;308;20200911;MPV;ZWART;Niet geregistreerd;4;1385;1485;20101103;20101103;Geen verstrekking in Open Data;Ja;4;4;0;0;450;0;M1;r. tegen schroefveerkoker onder motorkap;1970;0;0.06;271;Nee;Nee;Nee;3120;2022;Logisch;00;Ja;2020-09-11T00:00:00.000;2010-11-03T00:00:00.000;2010-11-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1560;20230922;2023-09-22T00:00:00.000;1970;;5;740;1400;;;6251;25750;4*****;e2*2001/116*0362*22;E9HR;8/1;0;B;;
00NPT3;Personenauto;PEUGEOT;PEUGEOT 107;20220711;hatchback;ZWART;Niet geregistreerd;3;780;880;20101028;20101028;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2023;Logisch;00;Ja;2022-07-11T00:00:00.000;2010-10-28T00:00:00.000;2010-10-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240119;2024-01-19T00:00:00.000;1190;;4;;;;;;11160;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00NPT4;Personenauto;PEUGEOT;308;20130530;MPV;GRIJS;Niet geregistreerd;4;1262;1362;20101028;20101028;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. tegen schroefveerkoker onder motorkap;1815;0;0.06;261;Nee;Nee;Nee;3315;2023;Logisch;00;Ja;2013-05-30T00:00:00.000;2010-10-28T00:00:00.000;2010-10-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20231028;2023-10-28T00:00:00.000;1815;;5;680;1500;;;4252;22850;4*****;e2*2001/116*0362*24;C5FS;0/1;0;B;;
00NPX6;Personenauto;PEUGEOT;PEUGEOT 107;20101115;hatchback;WIT;Niet geregistreerd;3;780;880;20101029;20101029;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2010-11-15T00:00:00.000;2010-10-29T00:00:00.000;2010-10-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20240119;2024-01-19T00:00:00.000;1190;;4;;;;;;10840;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00NRG9;Personenauto;PEUGEOT;PEUGEOT 107;20101029;hatchback;ZWART;Niet geregistreerd;3;780;880;20101029;20101029;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2010-10-29T00:00:00.000;2010-10-29T00:00:00.000;2010-10-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231105;2023-11-05T00:00:00.000;1190;;4;;;;;;11160;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00NRH1;Personenauto;PEUGEOT;207;20180316;hatchback;ROOD;Niet geregistreerd;4;1062;1162;20101029;20101029;Geen verstrekking in Open Data;Ja;2;4;0;0;403;0;M1;r. op schutbord onder motorkap;1626;0;0.06;254;Nee;Nee;Nee;2566;2022;Logisch;00;Ja;2018-03-16T00:00:00.000;2010-10-29T00:00:00.000;2010-10-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1397;20230325;2023-03-25T00:00:00.000;1626;;5;580;1150;;;2776;16740;W*****;e2*2001/116*0340*22;A8FP;0/1;0;B;0.00;
00NRH6;Personenauto;PEUGEOT;PEUGEOT 107;20211117;hatchback;BLAUW;Niet geregistreerd;3;775;875;20101028;20101028;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2021-11-17T00:00:00.000;2010-10-28T00:00:00.000;2010-10-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231230;2023-12-30T00:00:00.000;1180;;4;;;;;;10900;P*****;e11*2001/116*0237*08;MCFB;4;0;A;;
00NRH7;Personenauto;PEUGEOT;PEUGEOT 107;20101115;hatchback;BLAUW;Niet geregistreerd;3;780;880;20101030;20101030;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2010-11-15T00:00:00.000;2010-10-30T00:00:00.000;2010-10-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231030;2023-10-30T00:00:00.000;1190;;4;;;;;;11100;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00NRH8;Personenauto;PEUGEOT;PEUGEOT 107;20170620;hatchback;ZWART;Niet geregistreerd;3;780;880;20101119;20101119;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2017-06-20T00:00:00.000;2010-11-19T00:00:00.000;2010-11-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230928;2023-09-28T00:00:00.000;1190;;4;;;;;;10580;P*****;e11*2001/116*0237*08;NCFB;4;0;A;;
00NRH9;Personenauto;PEUGEOT;206;20230218;hatchback;GRIJS;Niet geregistreerd;4;925;1025;20050701;20101124;Geen verstrekking in Open Data;Ja;4;4;0;0;382;0;M1;r. op dwarsbalk in kofferruimte;1450;0;0.05;245;Nee;Nee;Nee;2365;2023;Geen oordeel;05;Ja;2023-02-18T00:00:00.000;2005-07-01T00:00:00.000;2010-11-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1360;20231118;2023-11-18T00:00:00.000;1450;;5;510;1100;;;2882;;;e2*98/14*0237*07;A;F;0;C;;
00NRL4;Personenauto;PEUGEOT;PEUGEOT 107;20160307;hatchback;BLAUW;Niet geregistreerd;3;780;880;20101030;20101030;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2016-03-07T00:00:00.000;2010-10-30T00:00:00.000;2010-10-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231230;2023-12-30T00:00:00.000;1190;;4;;;;;;11160;P*****;e11*2001/116*0237*08;NCFB;4;0;A;;
00NRS8;Personenauto;PEUGEOT;5008;20211230;MPV;ZWART;Niet geregistreerd;4;1515;1615;20101119;20101119;Geen verstrekking in Open Data;Ja;4;4;0;0;453;0;M1;r. by schroefveerkoker;2250;0;0.07;273;Nee;Nee;Nee;3350;2022;Logisch;00;Ja;2021-12-30T00:00:00.000;2010-11-19T00:00:00.000;2010-11-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20231223;2023-12-23T00:00:00.000;2250;;7;750;1600;;;8679;39990;0*****;e2*2007/46*0004*02;E5FV;A;0;C;;
00NRX8;Personenauto;PEUGEOT;PEUGEOT 107;20170320;hatchback;WIT;Niet geregistreerd;3;780;880;20101129;20101129;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2017-03-20T00:00:00.000;2010-11-29T00:00:00.000;2010-11-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231129;2023-11-29T00:00:00.000;1190;;4;;;;;;10000;P*****;e11*2001/116*0237*08;NCFB;4;0;A;;
00NSN8;Personenauto;PEUGEOT;PEUGEOT 107;20220729;hatchback;ZWART;Niet geregistreerd;3;780;880;20101110;20101110;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2022-07-29T00:00:00.000;2010-11-10T00:00:00.000;2010-11-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20230409;2023-04-09T00:00:00.000;1190;;4;;;;;;11100;P*****;e11*2001/116*0237*07;NCFA;C;0;A;;
00NSV2;Personenauto;PEUGEOT;PEUGEOT 107;20221214;hatchback;GRIJS;Niet geregistreerd;3;780;880;20101112;20101112;Geen verstrekking in Open Data;Ja;4;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1190;0;0.06;234;Nee;Nee;Nee;0;2022;Onlogisch;04;Ja;2022-12-14T00:00:00.000;2010-11-12T00:00:00.000;2010-11-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231121;2023-11-21T00:00:00.000;1190;;4;;;;;;10320;P*****;e11*2001/116*0237*08;NCFB;4;0;A;;
00NSZ1;Personenauto;PEUGEOT;PEUGEOT 107;20101112;hatchback;ZWART;Niet geregistreerd;3;775;875;20101112;20101112;Geen verstrekking in Open Data;Ja;2;4;0;0;345;0;M1;r. op bodemplaat by voorzitting;1180;0;0.06;234;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2010-11-12T00:00:00.000;2010-11-12T00:00:00.000;2010-11-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;998;20231112;2023-11-12T00:00:00.000;1180;;4;;;;;;10320;P*****;e11*2001/116*0237*08;MCFB;4;0;A;;
00NSZ2;Personenauto;PEUGEOT;308;20160708;MPV;GRIJS;Niet geregistreerd;4;1287;1387;20101119;20101119;Geen verstrekking in Open Data;Ja;4;4;0;0;428;0;M1;r. tegen schroefveerkoker onder motorkap;1835;0;0.06;261;Nee;Nee;Nee;3085;2022;Logisch;00;Ja;2016-07-08T00:00:00.000;2010-11-19T00:00:00.000;2010-11-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;20230429;2023-04-29T00:00:00.000;1835;;5;690;1500;;;4929;24700;4*****;e2*2001/116*0362*24;C5FS;9/1;0;C;;
